orderID,empID,date,time,total,tip
1000040,4000,2022-01-01,18:26:34,14.0,1.26
1000041,2000,2022-01-01,18:27:24,7.0,1.05
1000042,4000,2022-01-01,18:32:00,35.75,0.71
1000043,1000,2022-01-01,18:32:47,5.75,0.23
1000044,1000,2022-01-01,18:38:01,6.0,0.72
1000045,4000,2022-01-01,18:38:34,5.25,0.05
1000046,4000,2022-01-01,18:49:09,16.25,0.81
1000047,2000,2022-01-01,18:54:47,6.0,0.48
1000048,1000,2022-01-01,18:54:50,9.75,0.98
1000049,1000,2022-01-01,18:55:22,11.0,1.21
1000050,2000,2022-01-01,19:02:22,15.25,0.46
1000051,3000,2022-01-01,19:07:32,5.75,0.23
1000052,2000,2022-01-01,19:08:28,24.0,2.4
1000053,2000,2022-01-01,19:19:56,19.75,1.98
1000054,1000,2022-01-01,19:27:18,19.75,2.77
1000055,1000,2022-01-01,19:31:22,35.75,2.5
1000056,3000,2022-01-01,19:49:52,7.0,0.21
1000057,3000,2022-01-01,19:52:53,16.5,0.83
1000058,1000,2022-01-01,19:55:49,5.25,0.63
1000059,1000,2022-01-01,19:56:34,9.25,0.37
1000060,3000,2022-01-01,19:57:36,15.0,1.5
1000061,1000,2022-01-01,19:59:26,9.5,0.19
1000062,1000,2022-01-01,19:59:49,13.75,1.38
1000063,3000,2022-01-01,20:01:29,6.25,0.12
1000064,2000,2022-01-01,20:06:04,28.5,1.14
1000065,2000,2022-01-01,20:13:10,34.0,3.4
1000066,3000,2022-01-01,20:15:08,10.0,1.4
1000067,3000,2022-01-01,20:16:10,7.0,0.77
1000068,1000,2022-01-01,20:18:08,38.5,1.54
1000069,4000,2022-01-01,20:18:30,17.75,0.53
1000070,2000,2022-01-01,20:23:12,45.25,6.79
1000071,4000,2022-01-01,20:26:12,24.75,1.48
1000072,2000,2022-01-01,20:28:56,29.0,1.74
1000073,2000,2022-01-01,20:37:33,16.25,2.28
1000074,2000,2022-01-01,20:46:10,7.0,1.05
1000075,4000,2022-01-01,20:48:42,24.5,1.96
1000076,2000,2022-01-01,20:58:00,6.5,0.52
1000077,3000,2022-01-01,20:58:16,6.75,0.34
1000078,4000,2022-01-01,20:59:08,11.75,0.47
1000079,3000,2022-01-01,21:01:23,5.25,0.32
1000080,2000,2022-01-01,21:09:04,27.0,0.27
1000081,4000,2022-01-01,21:17:15,12.5,1.88
1000082,4000,2022-01-01,21:21:43,27.25,3.0
1000083,4000,2022-01-01,21:23:47,8.75,0.79
1000084,2000,2022-01-01,21:25:53,6.25,0.0
1000085,1000,2022-01-01,21:30:44,5.5,0.22
1000086,3000,2022-01-01,21:36:52,14.5,0.29
1000087,3000,2022-01-01,21:45:30,5.75,0.52
1000088,4000,2022-01-01,21:47:30,4.5,0.63
1000089,4000,2022-01-01,21:49:25,10.0,0.7
1000090,2000,2022-01-01,21:49:57,5.5,0.06
1000091,2000,2022-01-01,21:51:57,6.75,0.54
1000092,4000,2022-01-01,21:52:45,5.5,0.72
1000093,3000,2022-01-01,21:53:50,35.75,0.0
1000094,4000,2022-01-01,22:23:01,3.5,0.07
1000095,2000,2022-01-01,22:25:12,12.25,1.59
1000096,2000,2022-01-01,22:34:52,13.0,0.78
1000097,1000,2022-01-01,22:45:32,5.5,0.06
1000098,1000,2022-01-01,22:56:34,8.0,0.0
1000099,1000,2022-01-02,11:01:09,6.0,0.78
1000100,3000,2022-01-02,11:01:10,15.5,2.02
1000101,1000,2022-01-02,11:09:16,4.25,0.34
1000102,2000,2022-01-02,11:17:27,16.25,2.44
1000103,4000,2022-01-02,11:20:32,17.25,0.0
1000104,1000,2022-01-02,11:30:23,3.25,0.23
1000105,2000,2022-01-02,11:32:15,8.0,0.4
1000106,3000,2022-01-02,11:46:52,14.25,0.57
1000107,4000,2022-01-02,11:59:56,8.0,0.56
1000108,3000,2022-01-02,12:03:47,7.5,0.98
1000109,2000,2022-01-02,12:07:45,7.0,0.49
1000110,3000,2022-01-02,12:29:12,8.0,0.88
1000111,2000,2022-01-02,12:35:51,4.0,0.6
1000112,4000,2022-01-02,12:42:25,8.25,1.24
1000113,4000,2022-01-02,12:56:02,15.0,0.75
1000114,4000,2022-01-02,12:56:34,30.2,0.3
1000115,4000,2022-01-02,12:57:21,11.75,0.12
1000116,4000,2022-01-02,13:06:15,16.75,1.84
1000117,3000,2022-01-02,13:09:33,11.25,1.69
1000118,1000,2022-01-02,13:19:27,6.0,0.18
1000119,1000,2022-01-02,13:49:29,5.5,0.16
1000120,2000,2022-01-02,13:56:10,13.25,0.0
1000121,1000,2022-01-02,14:18:11,32.5,3.25
1000122,1000,2022-01-02,14:23:16,8.25,0.0
1000123,2000,2022-01-02,14:27:59,5.5,0.72
1000124,4000,2022-01-02,14:30:15,7.5,0.3
1000125,4000,2022-01-02,14:32:11,5.5,0.44
1000126,4000,2022-01-02,14:36:28,6.25,0.5
1000127,4000,2022-01-02,14:39:29,22.25,2.0
1000128,1000,2022-01-02,14:49:46,6.0,0.36
1000129,2000,2022-01-02,14:51:47,5.5,0.22
1000130,3000,2022-01-02,14:53:37,18.0,0.18
1000131,3000,2022-01-02,15:42:14,11.25,0.9
1000132,1000,2022-01-02,15:44:42,6.75,0.27
1000133,2000,2022-01-02,15:48:56,6.0,0.48
1000134,1000,2022-01-02,15:53:14,20.75,1.66
1000135,4000,2022-01-02,15:58:29,3.25,0.49
1000136,1000,2022-01-02,16:48:10,4.5,0.27
1000137,2000,2022-01-02,17:01:47,6.25,0.38
1000138,2000,2022-01-02,17:09:04,5.25,0.21
1000139,1000,2022-01-02,17:15:34,23.5,0.94
1000140,1000,2022-01-02,17:18:11,23.25,0.47
1000141,3000,2022-01-02,17:35:59,3.75,0.0
1000142,2000,2022-01-02,17:42:39,5.25,0.16
1000143,1000,2022-01-02,17:42:44,14.5,1.02
1000144,3000,2022-01-02,17:45:07,4.25,0.21
1000145,2000,2022-01-02,17:48:27,16.5,0.99
1000146,1000,2022-01-02,18:02:01,4.5,0.36
1000147,4000,2022-01-02,18:05:05,19.5,2.15
1000148,2000,2022-01-02,18:06:31,8.0,0.48
1000149,1000,2022-01-02,18:11:39,5.5,0.77
1000150,1000,2022-01-02,18:22:00,13.0,0.0
1000151,3000,2022-01-02,18:26:32,14.5,0.87
1000152,1000,2022-01-02,18:27:43,32.0,1.92
1000153,4000,2022-01-02,18:33:07,23.5,2.82
1000154,1000,2022-01-02,18:33:59,27.25,3.54
1000155,4000,2022-01-02,18:40:04,7.0,0.77
1000156,1000,2022-01-02,18:48:23,27.0,2.43
1000157,1000,2022-01-02,18:50:13,33.25,1.0
1000158,3000,2022-01-02,18:57:45,22.25,0.67
1000159,2000,2022-01-02,18:58:42,5.75,0.81
1000160,2000,2022-01-02,19:02:32,13.25,0.0
1000161,3000,2022-01-02,19:02:34,37.25,2.23
1000162,3000,2022-01-02,19:03:11,37.75,5.29
1000163,1000,2022-01-02,19:05:44,10.25,0.51
1000164,3000,2022-01-02,19:06:04,6.5,0.91
1000165,4000,2022-01-02,19:09:58,12.0,1.44
1000166,3000,2022-01-02,19:10:05,26.75,2.68
1000167,1000,2022-01-02,19:10:13,8.5,1.02
1000168,2000,2022-01-02,19:11:18,6.0,0.42
1000169,3000,2022-01-02,19:13:26,30.25,2.72
1000170,3000,2022-01-02,19:18:57,10.5,0.84
1000171,2000,2022-01-02,19:24:00,22.25,3.12
1000172,3000,2022-01-02,19:25:02,5.5,0.22
1000173,3000,2022-01-02,19:29:36,7.0,0.42
1000174,2000,2022-01-02,19:32:34,14.5,0.43
1000175,2000,2022-01-02,19:39:49,45.7,1.83
1000176,4000,2022-01-02,19:41:17,21.0,2.73
1000177,1000,2022-01-02,19:48:32,11.75,0.0
1000178,2000,2022-01-02,19:52:14,8.0,0.56
1000179,4000,2022-01-02,19:59:38,4.0,0.28
1000180,4000,2022-01-02,20:02:49,17.5,0.35
1000181,1000,2022-01-02,20:10:24,10.75,1.07
1000182,3000,2022-01-02,20:11:53,36.5,2.92
1000183,1000,2022-01-02,20:16:40,4.5,0.63
1000184,1000,2022-01-02,20:19:44,6.25,0.94
1000185,1000,2022-01-02,20:20:01,10.5,1.26
1000186,1000,2022-01-02,20:25:50,34.25,0.34
1000187,3000,2022-01-02,20:34:30,11.5,0.23
1000188,4000,2022-01-02,20:37:01,11.5,1.03
1000189,1000,2022-01-02,20:37:19,6.0,0.3
1000190,3000,2022-01-02,21:02:52,51.7,1.55
1000191,2000,2022-01-02,21:03:10,8.0,0.72
1000192,1000,2022-01-02,21:05:13,20.5,1.23
1000193,2000,2022-01-02,21:05:22,10.5,0.0
1000194,2000,2022-01-02,21:07:06,11.0,0.55
1000195,2000,2022-01-02,21:08:33,18.75,0.56
1000196,4000,2022-01-02,21:12:05,6.75,0.81
1000197,4000,2022-01-02,21:12:17,40.5,4.86
1000198,4000,2022-01-02,21:16:51,11.5,1.15
1000199,3000,2022-01-02,21:27:28,18.25,1.83
1000200,2000,2022-01-02,21:38:25,11.0,1.32
1000201,1000,2022-01-02,21:39:11,4.5,0.18
1000202,2000,2022-01-02,21:40:01,6.25,0.81
1000203,3000,2022-01-02,21:42:15,43.25,5.62
1000204,4000,2022-01-02,21:44:14,5.5,0.06
1000205,1000,2022-01-02,21:48:24,7.25,0.51
1000206,3000,2022-01-02,21:48:53,6.0,0.18
1000207,2000,2022-01-02,21:53:11,22.25,0.45
1000208,4000,2022-01-02,22:11:25,33.75,4.39
1000209,1000,2022-01-02,22:31:48,13.25,1.06
1000210,2000,2022-01-02,22:37:30,10.75,1.29
1000211,3000,2022-01-02,22:43:17,13.0,0.13
1000212,2000,2022-01-03,11:00:47,3.5,0.14
1000213,4000,2022-01-03,11:14:58,45.7,0.0
1000214,3000,2022-01-03,11:15:03,26.75,0.54
1000215,3000,2022-01-03,11:33:47,9.5,1.24
1000216,2000,2022-01-03,11:56:06,6.0,0.72
1000217,3000,2022-01-03,12:08:16,20.25,0.81
1000218,2000,2022-01-03,12:12:36,20.75,1.04
1000219,1000,2022-01-03,12:15:52,5.5,0.33
1000220,4000,2022-01-03,12:16:55,16.75,1.51
1000221,1000,2022-01-03,12:29:34,4.5,0.54
1000222,4000,2022-01-03,12:53:58,7.0,0.63
1000223,4000,2022-01-03,13:03:57,13.75,0.55
1000224,3000,2022-01-03,13:11:49,6.0,0.36
1000225,3000,2022-01-03,13:21:56,18.0,1.26
1000226,4000,2022-01-03,13:24:03,14.0,0.98
1000227,4000,2022-01-03,13:39:21,30.5,3.97
1000228,3000,2022-01-03,13:42:44,8.0,0.0
1000229,4000,2022-01-03,13:46:00,9.0,0.72
1000230,3000,2022-01-03,13:47:05,4.5,0.0
1000231,3000,2022-01-03,13:49:54,6.0,0.9
1000232,1000,2022-01-03,13:53:22,14.0,0.56
1000233,2000,2022-01-03,13:58:27,16.25,0.81
1000234,3000,2022-01-03,14:04:19,4.0,0.48
1000235,3000,2022-01-03,14:08:08,15.25,1.68
1000236,1000,2022-01-03,14:13:31,10.25,1.23
1000237,2000,2022-01-03,14:36:55,16.0,1.44
1000238,2000,2022-01-03,14:38:00,11.5,0.23
1000239,4000,2022-01-03,14:44:08,4.5,0.32
1000240,4000,2022-01-03,14:46:48,33.0,4.62
1000241,1000,2022-01-03,14:47:06,4.75,0.43
1000242,4000,2022-01-03,15:13:31,9.25,0.74
1000243,1000,2022-01-03,15:21:40,34.75,1.04
1000244,3000,2022-01-03,15:41:48,6.0,0.66
1000245,1000,2022-01-03,15:47:24,30.5,4.27
1000246,3000,2022-01-03,15:56:47,10.25,0.51
1000247,2000,2022-01-03,16:21:48,9.0,1.26
1000248,1000,2022-01-03,16:22:51,6.5,0.33
1000249,1000,2022-01-03,16:40:52,10.0,0.7
1000250,3000,2022-01-03,16:41:08,12.75,0.64
1000251,4000,2022-01-03,17:00:48,6.25,0.5
1000252,1000,2022-01-03,17:13:23,3.5,0.42
1000253,1000,2022-01-03,17:16:56,8.75,0.96
1000254,1000,2022-01-03,17:25:34,5.75,0.63
1000255,1000,2022-01-03,17:27:09,6.0,0.18
1000256,2000,2022-01-03,17:29:13,15.75,1.1
1000257,2000,2022-01-03,17:39:42,19.0,0.19
1000258,2000,2022-01-03,17:47:55,31.5,1.89
1000259,1000,2022-01-03,17:51:34,15.5,2.17
1000260,1000,2022-01-03,18:03:55,27.75,2.5
1000261,1000,2022-01-03,18:05:00,6.0,0.06
1000262,3000,2022-01-03,18:09:46,4.0,0.4
1000263,1000,2022-01-03,18:11:58,7.5,0.15
1000264,3000,2022-01-03,18:13:42,5.25,0.32
1000265,4000,2022-01-03,18:18:14,6.75,0.4
1000266,4000,2022-01-03,18:19:09,35.75,3.22
1000267,3000,2022-01-03,18:20:23,18.45,2.77
1000268,4000,2022-01-03,18:22:46,12.75,0.38
1000269,4000,2022-01-03,18:30:57,4.5,0.63
1000270,4000,2022-01-03,18:31:40,9.25,0.65
1000271,2000,2022-01-03,18:32:46,15.5,1.24
1000272,2000,2022-01-03,18:33:40,18.0,1.08
1000273,3000,2022-01-03,18:33:51,19.25,0.39
1000274,1000,2022-01-03,18:35:48,21.75,2.39
1000275,1000,2022-01-03,18:36:34,6.5,0.65
1000276,2000,2022-01-03,18:44:25,5.25,0.58
1000277,4000,2022-01-03,18:48:07,12.5,0.12
1000278,4000,2022-01-03,18:48:49,10.25,1.44
1000279,2000,2022-01-03,18:49:36,29.0,0.0
1000280,1000,2022-01-03,18:49:53,4.75,0.71
1000281,4000,2022-01-03,18:51:13,29.25,4.39
1000282,2000,2022-01-03,18:55:54,4.5,0.23
1000283,1000,2022-01-03,18:59:08,33.25,2.99
1000284,2000,2022-01-03,19:00:30,12.5,1.88
1000285,4000,2022-01-03,19:08:54,20.5,0.41
1000286,3000,2022-01-03,19:14:25,18.75,0.19
1000287,3000,2022-01-03,19:21:11,16.25,0.97
1000288,4000,2022-01-03,19:25:16,17.0,1.87
1000289,2000,2022-01-03,19:25:28,6.0,0.48
1000290,2000,2022-01-03,19:28:30,8.5,0.26
1000291,4000,2022-01-03,19:37:31,4.25,0.0
1000292,3000,2022-01-03,19:53:09,21.75,0.43
1000293,4000,2022-01-03,19:53:15,7.25,0.14
1000294,3000,2022-01-03,19:55:23,28.25,1.69
1000295,2000,2022-01-03,20:01:04,18.75,0.38
1000296,4000,2022-01-03,20:06:12,24.0,3.36
1000297,3000,2022-01-03,20:07:50,9.75,0.39
1000298,3000,2022-01-03,20:07:57,3.5,0.49
1000299,3000,2022-01-03,20:10:25,29.95,3.29
1000300,4000,2022-01-03,20:11:36,12.0,0.12
1000301,3000,2022-01-03,20:16:08,14.25,0.57
1000302,3000,2022-01-03,20:16:08,34.75,2.08
1000303,1000,2022-01-03,20:17:57,8.0,0.24
1000304,4000,2022-01-03,20:18:22,10.75,0.21
1000305,1000,2022-01-03,20:18:37,15.0,0.6
1000306,4000,2022-01-03,20:20:24,7.0,0.0
1000307,1000,2022-01-03,20:24:37,14.5,2.17
1000308,4000,2022-01-03,20:24:39,15.75,2.05
1000309,4000,2022-01-03,20:26:30,30.5,0.61
1000310,1000,2022-01-03,20:29:20,6.0,0.24
1000311,4000,2022-01-03,20:29:36,5.0,0.55
1000312,4000,2022-01-03,20:38:49,6.5,0.84
1000313,3000,2022-01-03,20:39:19,4.5,0.0
1000314,1000,2022-01-03,20:41:41,38.75,2.32
1000315,3000,2022-01-03,20:42:46,7.0,0.21
1000316,4000,2022-01-03,20:43:02,6.0,0.36
1000317,2000,2022-01-03,20:44:00,33.0,0.66
1000318,3000,2022-01-03,20:44:16,5.0,0.5
1000319,1000,2022-01-03,20:46:11,13.25,0.27
1000320,4000,2022-01-03,20:47:26,21.75,1.74
1000321,1000,2022-01-03,20:50:53,5.5,0.39
1000322,4000,2022-01-03,20:52:07,4.5,0.63
1000323,2000,2022-01-03,20:52:29,21.75,0.43
1000324,3000,2022-01-03,20:57:14,6.0,0.78
1000325,4000,2022-01-03,20:57:37,16.25,0.81
1000326,1000,2022-01-03,20:59:57,32.0,0.32
1000327,3000,2022-01-03,21:04:03,7.75,0.31
1000328,2000,2022-01-03,21:07:32,32.25,0.0
1000329,3000,2022-01-03,21:07:57,11.5,0.23
1000330,4000,2022-01-03,21:10:19,28.75,4.31
1000331,2000,2022-01-03,21:11:37,18.0,1.8
1000332,3000,2022-01-03,21:14:54,21.95,3.07
1000333,4000,2022-01-03,21:16:41,34.25,0.34
1000334,1000,2022-01-03,21:23:06,13.0,0.13
1000335,4000,2022-01-03,21:25:09,5.5,0.11
1000336,1000,2022-01-03,21:26:01,3.25,0.23
1000337,2000,2022-01-03,21:28:24,7.75,0.39
1000338,3000,2022-01-03,21:35:39,28.0,1.68
1000339,3000,2022-01-03,21:41:09,4.75,0.19
1000340,3000,2022-01-03,21:41:31,5.25,0.42
1000341,1000,2022-01-03,21:45:46,26.25,0.79
1000342,2000,2022-01-03,21:50:41,4.5,0.04
1000343,4000,2022-01-03,21:51:34,11.5,1.5
1000344,4000,2022-01-03,21:59:56,5.5,0.66
1000345,1000,2022-01-03,22:20:48,7.5,0.07
1000346,3000,2022-01-03,22:21:11,4.0,0.32
1000347,1000,2022-01-03,22:25:57,21.5,0.86
1000348,3000,2022-01-03,22:28:22,4.0,0.52
1000349,4000,2022-01-03,22:35:33,5.75,0.81
1000350,4000,2022-01-03,22:36:03,17.5,0.7
1000351,2000,2022-01-03,22:38:17,7.25,0.36
1000352,1000,2022-01-03,22:49:24,15.5,0.15
1000353,3000,2022-01-03,22:50:26,5.0,0.7
1000354,3000,2022-01-04,11:05:52,6.5,0.91
1000355,3000,2022-01-04,11:10:38,8.0,0.0
1000356,1000,2022-01-04,11:16:54,16.75,2.18
1000357,1000,2022-01-04,11:21:07,4.0,0.0
1000358,3000,2022-01-04,11:23:45,23.5,2.82
1000359,1000,2022-01-04,11:27:33,14.25,0.57
1000360,2000,2022-01-04,11:29:32,29.5,1.77
1000361,3000,2022-01-04,11:30:51,7.75,0.85
1000362,2000,2022-01-04,11:34:56,6.75,0.61
1000363,1000,2022-01-04,11:36:09,4.0,0.04
1000364,2000,2022-01-04,11:40:34,8.0,0.24
1000365,4000,2022-01-04,11:46:19,10.5,0.21
1000366,1000,2022-01-04,11:57:38,5.5,0.39
1000367,1000,2022-01-04,12:02:56,14.25,0.14
1000368,1000,2022-01-04,12:08:18,31.75,4.76
1000369,3000,2022-01-04,12:16:35,6.5,0.26
1000370,3000,2022-01-04,12:19:52,17.5,2.45
1000371,4000,2022-01-04,12:30:26,6.25,0.81
1000372,4000,2022-01-04,12:35:32,5.5,0.6
1000373,1000,2022-01-04,12:57:27,10.25,0.72
1000374,1000,2022-01-04,12:59:28,8.5,0.68
1000375,4000,2022-01-04,12:59:48,9.75,0.68
1000376,2000,2022-01-04,13:01:36,7.5,1.12
1000377,2000,2022-01-04,13:02:30,16.0,0.16
1000378,4000,2022-01-04,13:02:46,7.0,0.91
1000379,1000,2022-01-04,13:03:35,34.7,4.86
1000380,4000,2022-01-04,13:08:33,5.5,0.06
1000381,3000,2022-01-04,13:16:02,3.5,0.53
1000382,3000,2022-01-04,13:30:03,8.5,0.17
1000383,4000,2022-01-04,13:36:30,9.75,0.78
1000384,3000,2022-01-04,13:46:59,5.5,0.0
1000385,4000,2022-01-04,13:50:15,18.5,2.77
1000386,3000,2022-01-04,14:06:23,6.0,0.36
1000387,2000,2022-01-04,14:16:04,14.5,0.14
1000388,4000,2022-01-04,14:28:02,31.75,2.54
1000389,4000,2022-01-04,14:49:59,11.5,1.03
1000390,1000,2022-01-04,14:50:23,7.75,0.93
1000391,1000,2022-01-04,14:55:37,5.25,0.0
1000392,1000,2022-01-04,15:00:43,3.75,0.38
1000393,2000,2022-01-04,15:06:52,4.5,0.58
1000394,1000,2022-01-04,15:08:06,10.75,0.75
1000395,3000,2022-01-04,15:15:17,18.75,0.94
1000396,2000,2022-01-04,15:15:51,12.5,1.38
1000397,2000,2022-01-04,15:18:08,7.5,0.0
1000398,4000,2022-01-04,15:20:51,3.25,0.03
1000399,1000,2022-01-04,15:27:18,6.25,0.12
1000400,1000,2022-01-04,15:59:39,20.5,0.41
1000401,4000,2022-01-04,16:14:03,13.25,1.06
1000402,4000,2022-01-04,16:16:28,6.75,0.4
1000403,4000,2022-01-04,16:16:37,3.25,0.0
1000404,4000,2022-01-04,16:19:08,19.0,1.71
1000405,4000,2022-01-04,16:25:45,29.5,0.89
1000406,3000,2022-01-04,16:26:16,27.5,4.12
1000407,3000,2022-01-04,16:28:56,9.0,0.81
1000408,1000,2022-01-04,16:32:20,15.5,1.4
1000409,3000,2022-01-04,16:33:41,11.75,1.18
1000410,1000,2022-01-04,16:35:41,9.0,0.63
1000411,4000,2022-01-04,16:37:00,34.0,1.36
1000412,2000,2022-01-04,16:39:39,25.2,2.52
1000413,1000,2022-01-04,16:48:23,19.25,2.12
1000414,1000,2022-01-04,16:56:12,31.75,3.49
1000415,2000,2022-01-04,16:57:29,11.25,0.67
1000416,3000,2022-01-04,17:12:58,11.5,1.26
1000417,1000,2022-01-04,17:19:20,3.25,0.16
1000418,4000,2022-01-04,17:23:20,4.5,0.23
1000419,4000,2022-01-04,17:25:28,16.0,0.16
1000420,4000,2022-01-04,17:32:31,13.5,0.81
1000421,4000,2022-01-04,17:33:56,18.75,0.56
1000422,2000,2022-01-04,18:00:21,32.0,3.84
1000423,1000,2022-01-04,18:00:24,35.0,5.25
1000424,1000,2022-01-04,18:02:31,20.5,1.64
1000425,1000,2022-01-04,18:02:44,26.0,1.56
1000426,1000,2022-01-04,18:02:57,18.0,1.98
1000427,1000,2022-01-04,18:05:30,7.0,0.84
1000428,3000,2022-01-04,18:07:39,10.0,0.1
1000429,3000,2022-01-04,18:11:19,19.75,2.96
1000430,4000,2022-01-04,18:13:29,32.25,0.32
1000431,4000,2022-01-04,18:14:21,12.75,0.64
1000432,3000,2022-01-04,18:14:36,15.0,1.2
1000433,4000,2022-01-04,18:15:27,8.5,0.43
1000434,4000,2022-01-04,18:18:57,13.0,1.56
1000435,2000,2022-01-04,18:19:03,8.5,0.51
1000436,1000,2022-01-04,18:20:25,12.5,0.25
1000437,2000,2022-01-04,18:21:15,10.75,1.4
1000438,4000,2022-01-04,18:22:37,27.75,1.39
1000439,1000,2022-01-04,18:25:46,21.25,0.64
1000440,4000,2022-01-04,18:26:15,15.5,2.32
1000441,4000,2022-01-04,18:28:27,10.0,1.1
1000442,3000,2022-01-04,18:28:39,7.0,0.98
1000443,4000,2022-01-04,18:29:50,8.0,0.4
1000444,1000,2022-01-04,18:30:12,17.0,2.21
1000445,4000,2022-01-04,18:42:10,6.5,0.78
1000446,4000,2022-01-04,18:45:53,14.5,1.59
1000447,2000,2022-01-04,18:49:52,5.0,0.45
1000448,4000,2022-01-04,18:53:35,7.25,1.09
1000449,1000,2022-01-04,18:54:54,10.0,0.8
1000450,1000,2022-01-04,18:58:09,26.75,0.0
1000451,2000,2022-01-04,19:03:12,17.5,0.7
1000452,2000,2022-01-04,19:03:13,7.0,0.14
1000453,1000,2022-01-04,19:05:07,6.0,0.06
1000454,4000,2022-01-04,19:06:03,15.25,0.0
1000455,3000,2022-01-04,19:06:19,6.25,0.12
1000456,3000,2022-01-04,19:09:45,12.25,0.24
1000457,4000,2022-01-04,19:12:03,18.5,1.85
1000458,3000,2022-01-04,19:15:42,5.5,0.28
1000459,4000,2022-01-04,19:16:59,7.25,0.65
1000460,4000,2022-01-04,19:19:55,17.5,0.35
1000461,2000,2022-01-04,19:20:28,11.75,1.76
1000462,3000,2022-01-04,19:26:36,7.5,0.0
1000463,2000,2022-01-04,19:28:14,20.0,2.0
1000464,1000,2022-01-04,19:29:26,16.5,0.33
1000465,4000,2022-01-04,19:30:40,12.0,1.2
1000466,2000,2022-01-04,19:33:13,4.5,0.14
1000467,1000,2022-01-04,19:33:38,4.75,0.67
1000468,1000,2022-01-04,19:35:08,13.25,0.27
1000469,1000,2022-01-04,19:37:05,3.25,0.07
1000470,4000,2022-01-04,19:37:54,7.25,1.02
1000471,4000,2022-01-04,19:43:41,19.45,0.58
1000472,2000,2022-01-04,19:48:28,37.5,4.12
1000473,2000,2022-01-04,19:53:54,34.5,2.07
1000474,4000,2022-01-04,19:54:26,6.0,0.06
1000475,4000,2022-01-04,19:58:50,5.5,0.55
1000476,4000,2022-01-04,20:06:25,10.5,1.47
1000477,3000,2022-01-04,20:10:01,5.0,0.2
1000478,2000,2022-01-04,20:10:41,4.25,0.17
1000479,4000,2022-01-04,20:14:07,17.25,1.03
1000480,2000,2022-01-04,20:15:09,29.0,2.32
1000481,1000,2022-01-04,20:16:33,6.5,0.78
1000482,3000,2022-01-04,20:17:09,5.75,0.69
1000483,2000,2022-01-04,20:20:03,4.5,0.49
1000484,4000,2022-01-04,20:20:48,12.5,1.75
1000485,2000,2022-01-04,20:24:31,3.25,0.07
1000486,2000,2022-01-04,20:28:11,27.25,2.45
1000487,1000,2022-01-04,20:28:23,21.7,1.08
1000488,3000,2022-01-04,20:28:59,32.5,4.55
1000489,1000,2022-01-04,20:29:20,10.0,1.5
1000490,2000,2022-01-04,20:30:55,13.75,2.06
1000491,4000,2022-01-04,20:34:08,6.5,0.78
1000492,1000,2022-01-04,20:34:17,16.5,0.33
1000493,3000,2022-01-04,20:40:18,9.5,1.24
1000494,1000,2022-01-04,20:40:26,7.25,0.43
1000495,3000,2022-01-04,20:47:04,15.75,1.73
1000496,3000,2022-01-04,20:50:40,4.0,0.48
1000497,1000,2022-01-04,20:54:32,6.5,0.71
1000498,4000,2022-01-04,20:59:34,17.25,1.73
